,user_id,connection_start_datetime,connection_end_datetime,active_hour_int,date_str,day_date,year_num,month_num,week_of_year_num,day_num,day_of_week,day_of_week_name
87,91818,2017-10-28 10:17,2017-10-28 10:59,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
88,93316,2017-10-28 10:19,2017-10-28 10:33,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
89,94216,2017-10-28 14:26,2017-10-28 14:43,14,20171028,2017-10-28,2017,10,43,28,6,Saturday
90,94308,2017-10-28 14:37,2017-10-28 14:53,14,20171028,2017-10-28,2017,10,43,28,6,Saturday
91,94895,2017-10-28 14:41,2017-10-28 14:45,14,20171028,2017-10-28,2017,10,43,28,6,Saturday
92,95460,2017-10-28 00:13,2017-10-28 00:28,0,20171028,2017-10-28,2017,10,43,28,6,Saturday
93,95882,2017-10-28 19:19,2017-10-28 19:24,19,20171028,2017-10-28,2017,10,43,28,6,Saturday
94,97079,2017-10-28 18:51,2017-10-28 18:56,18,20171028,2017-10-28,2017,10,43,28,6,Saturday
95,97493,2017-10-28 07:29,2017-10-28 07:34,7,20171028,2017-10-28,2017,10,43,28,6,Saturday
96,97945,2017-10-28 10:31,2017-10-28 10:48,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
97,98253,2017-10-28 13:11,2017-10-28 13:47,13,20171028,2017-10-28,2017,10,43,28,6,Saturday
98,98531,2017-10-28 16:46,2017-10-28 16:59,16,20171028,2017-10-28,2017,10,43,28,6,Saturday
99,98605,2017-10-28 10:45,2017-10-28 10:52,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
100,98642,2017-10-28 01:50,2017-10-28 01:52,1,20171028,2017-10-28,2017,10,43,28,6,Saturday
101,98671,2017-10-28 23:45,2017-10-28 23:52,23,20171028,2017-10-28,2017,10,43,28,6,Saturday
102,98830,2017-10-28 10:12,2017-10-28 10:23,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
103,99377,2017-10-28 08:20,2017-10-28 08:24,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
104,99632,2017-10-28 06:59,2017-10-28 07:30,6,20171028,2017-10-28,2017,10,43,28,6,Saturday
105,99632,2017-10-28 06:59,2017-10-28 07:30,7,20171028,2017-10-28,2017,10,43,28,6,Saturday
106,99982,2017-10-28 08:51,2017-10-28 09:18,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
107,99982,2017-10-28 08:51,2017-10-28 09:18,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
108,100526,2017-10-28 20:04,2017-10-28 20:45,20,20171028,2017-10-28,2017,10,43,28,6,Saturday
109,100564,2017-10-28 14:20,2017-10-28 14:25,14,20171028,2017-10-28,2017,10,43,28,6,Saturday
110,101647,2017-10-28 17:35,2017-10-28 17:43,17,20171028,2017-10-28,2017,10,43,28,6,Saturday
111,101851,2017-10-28 11:54,2017-10-28 12:52,11,20171028,2017-10-28,2017,10,43,28,6,Saturday
112,101851,2017-10-28 11:54,2017-10-28 12:52,12,20171028,2017-10-28,2017,10,43,28,6,Saturday
113,101920,2017-10-28 09:11,2017-10-28 09:35,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
114,102142,2017-10-28 13:46,2017-10-28 13:58,13,20171028,2017-10-28,2017,10,43,28,6,Saturday
115,102458,2017-10-28 08:50,2017-10-28 08:54,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
116,102904,2017-10-28 00:56,2017-10-28 01:01,0,20171028,2017-10-28,2017,10,43,28,6,Saturday
117,102904,2017-10-28 00:56,2017-10-28 01:01,1,20171028,2017-10-28,2017,10,43,28,6,Saturday
